page,bill_month,bill_date,due_date,service_no,van_id,category,cons_kwh,cons_kvah,cons_kva,cons_pf,demand_normal,energy_charges,elec_duty,fppca,tod_charges,sub_total,customer_charges,total,net_bill,net_payable,chain_ok,doc_type
1,,,,,,,,,,,,,,,,,,,,,,OTHER
2,01/2024,04-02-2024,18-Feb-2024,VSP098,APEPDC0100000558,IB,35541.0,38024.0,142.35,0.93,10676.25,266168.0,2132.46,31965.94,0.0,310942.65,1406.0,312348.65,312349.0,312349.0,True,HT_BILL
3,01/2024,04-02-2024,18-Feb-2024,VSP212,APEPDC0100000391,IIA(ii),29909.0,38047.0,346.65,0.79,0.0,86240.0,29909.0,0.0,0.0,116149.0,1406.0,125055.0,0.0,-37395.0,True,HT_BILL
4,01/2024,04-02-2024,18-Feb-2024,VSP361,APEPDC0100000508,IB,59430.0,62684.0,254.07,0.95,19055.25,438788.0,3565.8,44142.82,0.0,505551.87,1406.0,506957.87,506958.0,506958.0,True,HT_BILL
5,01/2024,05-02-2024,19-Feb-2024,VSP127,APEPDC0100000334,IB,47315.0,47464.0,178.89,1.0,13416.75,332248.0,2838.9,24427.04,0.0,372930.69,1406.0,374336.69,374337.0,374337.0,True,HT_BILL
6,01/2024,02-02-2024,16-Feb-2024,VSP1375,APEPDC0100003730,IIB,6550.0,17350.0,60.0,0.38,0.0,212537.5,6550.0,11533.17,0.0,230620.67,2813.0,483433.67,483434.0,483434.0,True,HT_BILL
7,01/2024,04-02-2024,18-Feb-2024,VSP009,APEPDC0100000627,IIA(i),17952.0,19354.0,92.695,0.93,144400.0,148058.1,17952.0,12645.08,4884.0,327939.18,1406.0,329345.18,329345.0,,True,HT_BILL
8,01/2024,03-02-2024,17-Feb-2024,VSP309,APEPDC0100001933,IIA(i),16629.0,19914.0,146.47,0.84,133000.0,152342.1,16629.0,11930.96,1693.0,315595.06,1406.0,317001.06,317001.0,317001.0,True,HT_BILL
9,01/2024,02-02-2024,16-Feb-2024,VSP508,APEPDC0100000227,IIIA,7304.0,8648.0,68.06,0.84,32328.5,54482.4,7304.0,6374.15,301.0,95152.3,1406.0,96558.3,96558.0,96558.0,True,HT_BILL
10,01/2024,04-02-2024,18-Feb-2024,VSP007,APEPDC0100000626,IIA(i),428873.0,449291.0,1196.3,0.95,570000.0,3437076.15,428873.0,241058.35,88166.0,4765173.5,1406.0,4766579.5,4766580.0,4766580.0,True,HT_BILL
11,01/2024,04-02-2024,18-Feb-2024,VSP1655,APEPDC0100004450,IIA(i),44294.0,46965.0,131.64,0.94,62529.0,359282.25,44294.0,25150.57,13005.0,504260.82,1406.0,505666.82,505667.0,505667.0,True,HT_BILL
12,01/2024,04-02-2024,18-Feb-2024,VSP1718,APEPDC0100004656,,25155.0,27773.0,74.313,0.91,76000.0,212463.45,25155.0,19415.21,6380.0,339413.66,1406.0,340819.66,340820.0,340446.0,True,HT_BILL
13,01/2024,05-02-2024,19-Feb-2024,VSP1720,APEPDC0100004657,IIA(i),30911.0,32162.0,239.0,0.96,152000.0,246039.3,30911.0,31735.68,8874.0,469559.98,1406.0,470965.98,470966.0,470966.0,True,HT_BILL
14,01/2024,02-02-2024,16-Feb-2024,VSP1154,APEPDC0100003106,IIA(i),244875.0,251550.0,2793.0,0.97,1282500.0,1748272.5,244875.0,114924.3,40450.0,3519371.8,2813.0,3522184.8,3522185.0,3502835.0,True,HT_BILL
15,,,,,,,,,,,,,,,,,,,,,,OTHER
16,02/2024,03-03-2024,17-Mar-2024,VSP007,APEPDC0100000626,IIA(i),454600.0,477400.0,1227.0,0.95,582825.0,3652110.0,454600.0,403382.15,90800.0,5183717.15,1406.0,5185123.15,5185123.0,5180352.0,True,HT_BILL
17,02/2024,03-03-2024,17-Mar-2024,VSP098,APEPDC0100000558,IB,38828.0,41162.0,295.32,0.94,22149.0,288134.0,2329.68,51642.27,0.0,364254.95,1406.0,365660.95,365661.0,365348.0,True,HT_BILL
18,02/2024,03-03-2024,17-Mar-2024,VSP212,APEPDC0100000391,IIA(i),46119.0,53657.0,500.85,0.86,0.0,290374.0,46119.0,2816.0,0.0,339309.0,1406.0,348215.0,,-37395.0,False,HT_BILL
19,02/2024,03-03-2024,17-Mar-2024,VSP361,APEPDC0100000508,IB,61574.0,64367.0,261.96,0.96,19647.0,450569.0,3694.44,67924.47,0.0,541834.91,1406.0,543240.91,543241.0,542734.0,False,HT_BILL
